Name;OriginalSize;BxesSize;BxesPreprocessing;ZipSize;BxesToXesSize;ExiSize
CCC19 - Log XES;806604;24091;23331;26474;874976;21653
not_existing_assembly_loading_50;69765356;1481152;1451351;3031019;70211931;1496488
finalizable_object_1;885275;35446;35336;33805;892966;28344
exception_try_catch_finally_when_1;620798;32043;32094;30622;624619;25040
unsafe_fixed_50;24518888;441290;434777;1132204;24670188;535439
array_pooling_75;122689144;2660872;2598872;4554159;123947709;2690160
task_test_project_50;97435590;1934475;1899358;4166718;98010540;1983930
dynamic_assembly_loading_1;1489486;59559;60023;62821;1498542;48355
finalizable_object_75;66439007;1437626;1414853;2475053;67019727;1448607
simple_async_await_1;2329325;88227;89728;95041;2342181;70741
console_app_1_1;636155;32501;32555;31752;640266;25454
intensive_thread_pool_25;553313386;12487073;12113002;14753209;558784816;10882575
file_async_operations_1;4361130;151921;154752;163743;4393111;125699
dynamic_assembly_loading_50;73979343;1465750;1435972;3075086;74429768;1480963
exception_try_catch_finally_1;147387;10028;9993;8578;148338;7788
not_simple_async_await_75;258632003;5313850;5224053;9870844;260568163;5343877
console_app_1_75;46467401;825964;807249;2253153;46764201;1043289
exception_try_catch_finally_when_25;15480120;304625;300539;737088;15576640;352525
intensive_thread_pool_50;1094425732;24043972;23378246;28984504;1105223532;21303506
exception_try_catch_finally_async_1;2834835;110946;112519;119250;2852656;89519
task_test_project_25;48937439;1022777;1005038;2099811;49227744;1017016
unsafe_fixed_25;12312261;240572;237306;570185;12388651;277401
yield_enumerator_75;35292547;596680;581019;1663595;35508537;754986
not_existing_assembly_loading_25;35092368;784084;769548;1527886;35318548;765096
unsafe_fixed_1;494249;25726;25595;23890;497270;19849
exception_try_catch_finally_when_50;30768851;552752;543057;1461084;30959581;675084
simple_async_await_75;174560114;3073585;3032972;7047326;175526434;3240897
exception_try_catch_finally_async_75;212480363;4303811;4236076;8870048;213817553;4379735
exception_try_catch_finally_75;10829230;218559;215105;548696;10901905;214089
file_write_project_75;51428622;827530;803906;2216319;51730007;1054879
dynamic_assembly_creation_75;196603923;3143474;3069900;7245403;197688098;3328542
dynamic_assembly_loading_25;37081659;781563;768479;1542237;37307999;760292
task_test_project_1;1962871;79119;80027;84967;1974477;64107
loh_allocations_1;58091937;822666;847128;1315593;58616993;775070
file_async_operations_75;322274253;6462157;6350150;12118437;324612938;6528738
